sample_id,component_name,success,drc_pass,lvs_pass,execution_time,parameters,output_directory
1,fvf_sample_0001,True,True,True,14.234815120697021,"{'width': (10.321062313754776, 11.366318703202666), 'length': (1.6629684628850419, 1.7767357510502004), 'fingers': (3, 4), 'multipliers': (2, 2)}",lhs_dataset_robust/sample_0001
2,fvf_sample_0002,True,True,True,15.512718677520752,"{'width': (11.110372339736875, 12.345987618722784), 'length': (1.9780284776009585, 1.9862722487568714), 'fingers': (4, 4), 'multipliers': (2, 2)}",lhs_dataset_robust/sample_0002
3,fvf_sample_0003,True,True,True,11.034035682678223,"{'width': (6.8354290200344545, 6.897419806408012), 'length': (1.5260883727188208, 2.3356107632270735), 'fingers': (2, 2), 'multipliers': (2, 3)}",lhs_dataset_robust/sample_0003
4,fvf_sample_0004,True,True,True,12.410468816757202,"{'width': (3.9770223830806444, 14.532181823764406), 'length': (1.3211352043508304, 1.842228630460005), 'fingers': (1, 5), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0004
5,fvf_sample_0005,True,True,True,13.459887981414795,"{'width': (8.547098839880224, 11.460720962928445), 'length': (1.6337964251686756, 1.7663744397759424), 'fingers': (3, 4), 'multipliers': (2, 2)}",lhs_dataset_robust/sample_0005
6,fvf_sample_0006,True,True,True,15.883813858032227,"{'width': (3.768620537211559, 14.941222153284775), 'length': (1.236531071702184, 2.1399770777231812), 'fingers': (1, 5), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0006
7,fvf_sample_0007,True,True,True,18.048710584640503,"{'width': (10.787277235195184, 14.798899836409097), 'length': (1.0261948801119891, 2.235191874788042), 'fingers': (4, 5), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0007
8,fvf_sample_0008,True,True,True,12.249445676803589,"{'width': (8.340064510481549, 9.116618513698734), 'length': (1.604232660659159, 1.8144996644552245), 'fingers': (3, 3), 'multipliers': (2, 2)}",lhs_dataset_robust/sample_0008
9,fvf_sample_0009,True,True,True,11.01650619506836,"{'width': (7.789586697839617, 7.9215720809364765), 'length': (1.9335779785655847, 2.044946877092104), 'fingers': (2, 3), 'multipliers': (2, 2)}",lhs_dataset_robust/sample_0009
10,fvf_sample_0010,True,True,True,10.28059196472168,"{'width': (6.609722428030548, 9.464257328084596), 'length': (1.3255194293824986, 1.7323336099917892), 'fingers': (2, 3), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0010
11,fvf_sample_0011,True,True,True,10.260621786117554,"{'width': (7.6713623036697935, 9.489829787126137), 'length': (1.3491267323782696, 1.5089336068135748), 'fingers': (2, 3), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0011
12,fvf_sample_0012,True,True,True,9.111149311065674,"{'width': (3.366453923794569, 10.029253706325402), 'length': (1.2191519862342706, 1.7032433176642998), 'fingers': (1, 3), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0012
13,fvf_sample_0013,True,True,True,12.995752811431885,"{'width': (11.07447732536767, 11.781347191471788), 'length': (1.4583350590363087, 1.867124083743987), 'fingers': (4, 4), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0013
14,fvf_sample_0014,True,True,True,8.951616764068604,"{'width': (4.261845627613208, 8.540802340566266), 'length': (1.1195716467685088, 1.834356107578117), 'fingers': (1, 3), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0014
15,fvf_sample_0015,True,True,True,8.186437845230103,"{'width': (5.931622109212565, 6.205606373031502), 'length': (1.4799423313205267, 1.8079381201416267), 'fingers': (2, 2), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0015
16,fvf_sample_0016,True,True,True,13.698393821716309,"{'width': (7.583082817844308, 14.109081175745247), 'length': (1.1811246277406489, 1.7781987570260718), 'fingers': (3, 5), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0016
17,fvf_sample_0017,True,True,True,14.81896710395813,"{'width': (8.108160839488441, 9.841578782286515), 'length': (1.7500438372829112, 2.3092440301352197), 'fingers': (2, 4), 'multipliers': (2, 3)}",lhs_dataset_robust/sample_0017
18,fvf_sample_0018,True,True,True,14.474777221679688,"{'width': (9.403552632682125, 10.726098272740401), 'length': (1.36980763416959, 2.4640039240814655), 'fingers': (3, 4), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0018
19,fvf_sample_0019,True,True,True,8.393988132476807,"{'width': (6.171439992338303, 6.421565138806059), 'length': (1.2452790955276998, 1.9452951683678745), 'fingers': (2, 2), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0019
20,fvf_sample_0020,True,True,True,12.41099238395691,"{'width': (8.725163125210416, 11.275799182551161), 'length': (1.287877500130286, 1.7202779958549055), 'fingers': (3, 4), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0020
21,fvf_sample_0021,True,True,True,15.208448648452759,"{'width': (6.674200859853737, 10.801923760239628), 'length': (1.5961675793721084, 2.210318624136491), 'fingers': (2, 4), 'multipliers': (2, 3)}",lhs_dataset_robust/sample_0021
22,fvf_sample_0022,True,True,True,16.002893686294556,"{'width': (5.287417315481717, 13.584867212696789), 'length': (1.4161926050326452, 2.3604513554038737), 'fingers': (2, 5), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0022
23,fvf_sample_0023,True,True,True,16.099510669708252,"{'width': (10.408583149711964, 11.60081482384238), 'length': (1.3857970995360236, 2.4043068812050743), 'fingers': (4, 4), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0023
24,fvf_sample_0024,True,True,True,9.462073564529419,"{'width': (3.1557921197420002, 7.253293700886436), 'length': (1.2721320914327459, 2.433364548984989), 'fingers': (1, 2), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0024
25,fvf_sample_0025,True,True,True,16.41033101081848,"{'width': (9.714205215839085, 10.050077910691346), 'length': (1.6474149148103514, 2.3836076707996416), 'fingers': (3, 4), 'multipliers': (2, 3)}",lhs_dataset_robust/sample_0025
26,fvf_sample_0026,True,True,True,14.165772914886475,"{'width': (5.607375574269739, 11.776699031381618), 'length': (1.282494564708359, 2.110848591361652), 'fingers': (2, 4), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0026
27,fvf_sample_0027,True,True,True,12.738484382629395,"{'width': (10.289123762026897, 10.593685430096995), 'length': (1.5430612793462513, 1.5972566662523133), 'fingers': (4, 4), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0027
28,fvf_sample_0028,True,True,True,8.752589702606201,"{'width': (6.961536395813548, 7.205726872278021), 'length': (1.57375461168968, 1.5803450148923788), 'fingers': (2, 2), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0028
29,fvf_sample_0029,True,True,True,12.53609561920166,"{'width': (3.2095647051025136, 14.41113200926958), 'length': (1.6212192025013965, 1.8823599771323076), 'fingers': (1, 5), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0029
30,fvf_sample_0030,True,True,True,12.465012550354004,"{'width': (7.333209164440867, 12.134438311641926), 'length': (1.4467666593492663, 1.873574567026979), 'fingers': (2, 4), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0030
31,fvf_sample_0031,True,True,True,12.062810897827148,"{'width': (6.426858145358547, 12.550458814288273), 'length': (1.2438492394751584, 1.9057564921874053), 'fingers': (2, 4), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0031
32,fvf_sample_0032,True,True,True,12.271705389022827,"{'width': (8.010221504549575, 12.109877937959435), 'length': (1.3091691429361276, 1.9605592812930293), 'fingers': (3, 4), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0032
33,fvf_sample_0033,True,True,True,17.848922729492188,"{'width': (11.84145992515024, 13.145329676994162), 'length': (1.1602196303469618, 2.078689092239911), 'fingers': (4, 5), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0033
34,fvf_sample_0034,True,True,True,10.78408694267273,"{'width': (4.930409215333531, 8.277397882332002), 'length': (1.0479321889105275, 2.2646051509249094), 'fingers': (1, 3), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0034
35,fvf_sample_0035,True,True,True,14.705605745315552,"{'width': (8.46254174669103, 9.229099127778191), 'length': (1.9562386244960317, 2.477995901312198), 'fingers': (3, 3), 'multipliers': (2, 3)}",lhs_dataset_robust/sample_0035
36,fvf_sample_0036,True,True,True,8.135494709014893,"{'width': (6.30028405055574, 9.785092523070935), 'length': (1.203761809244601, 1.5527838901919413), 'fingers': (2, 3), 'multipliers': (1, 1)}",lhs_dataset_robust/sample_0036
37,fvf_sample_0037,True,True,True,12.638545989990234,"{'width': (4.15116367212649, 13.742052567203242), 'length': (1.3797563326098181, 1.997411164557859), 'fingers': (1, 5), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0037
38,fvf_sample_0038,True,True,True,12.158218622207642,"{'width': (7.567370635324163, 9.007698021395672), 'length': (1.494030468547731, 2.1723420011926344), 'fingers': (2, 3), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0038
39,fvf_sample_0039,True,True,True,9.580360412597656,"{'width': (3.6495822219148044, 13.922969263722441), 'length': (1.0894112888596477, 1.5049079172283366), 'fingers': (1, 5), 'multipliers': (1, 1)}",lhs_dataset_robust/sample_0039
40,fvf_sample_0040,True,True,True,9.99103307723999,"{'width': (9.510482229851867, 10.930512172083441), 'length': (1.0784695526754708, 1.2529064494679496), 'fingers': (3, 4), 'multipliers': (1, 1)}",lhs_dataset_robust/sample_0040
41,fvf_sample_0041,True,True,True,10.189292430877686,"{'width': (10.184291979587126, 11.509169100615338), 'length': (1.1207650505764581, 1.4048831681632215), 'fingers': (3, 4), 'multipliers': (1, 1)}",lhs_dataset_robust/sample_0041
42,fvf_sample_0042,True,True,True,12.489782333374023,"{'width': (8.90572704094382, 10.89202392101396), 'length': (1.352287509240779, 1.9087100588853003), 'fingers': (3, 4), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0042
43,fvf_sample_0043,True,True,True,8.274189233779907,"{'width': (5.711363089728397, 6.168457323285956), 'length': (1.1556987741870108, 1.718024448360258), 'fingers': (2, 2), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0043
44,fvf_sample_0044,True,True,True,16.10503363609314,"{'width': (7.120708851764392, 12.896816014237043), 'length': (1.464172277659093, 2.1063977202297015), 'fingers': (2, 5), 'multipliers': (1, 3)}",lhs_dataset_robust/sample_0044
45,fvf_sample_0045,True,True,True,10.790552616119385,"{'width': (5.010287777332496, 8.954825737321546), 'length': (1.821655675228425, 1.8894558064931553), 'fingers': (1, 3), 'multipliers': (2, 2)}",lhs_dataset_robust/sample_0045
46,fvf_sample_0046,True,True,True,12.503016233444214,"{'width': (4.445851683128998, 12.678490430265882), 'length': (1.6735207097588254, 1.6876789384973616), 'fingers': (1, 4), 'multipliers': (2, 2)}",lhs_dataset_robust/sample_0046
47,fvf_sample_0047,True,True,True,10.594724178314209,"{'width': (7.382384735459807, 9.678003339989985), 'length': (1.521002023132644, 1.7866151672797117), 'fingers': (2, 3), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0047
48,fvf_sample_0048,True,True,True,14.437438249588013,"{'width': (8.130115047970643, 8.843784775821428), 'length': (1.6805986278179885, 2.2883248576700552), 'fingers': (3, 3), 'multipliers': (2, 3)}",lhs_dataset_robust/sample_0048
49,fvf_sample_0049,True,True,True,10.100991249084473,"{'width': (5.484658823209305, 13.369276465489609), 'length': (1.4170118427419387, 1.4355012953868451), 'fingers': (2, 5), 'multipliers': (1, 1)}",lhs_dataset_robust/sample_0049
50,fvf_sample_0050,True,True,True,12.761375904083252,"{'width': (4.636467175333495, 13.468448445945551), 'length': (1.0143171671308624, 2.0137840358661117), 'fingers': (1, 5), 'multipliers': (1, 2)}",lhs_dataset_robust/sample_0050
